23:09:27 [INFO] \u2550\u2550\u2550 PHASE B: LLM-based structured ethics extraction \u2550\u2550\u2550
23:09:27 [INFO] Target policies with ethics > 0: 1345
23:09:27 [INFO] Loading corpus texts...
23:09:28 [INFO] Corpus entries loaded: 2205
23:09:28 [INFO] Matched corpus texts: 1345 / 1345
23:09:28 [INFO] Resuming: 25 already completed
23:09:28 [INFO] Policies to process: 1320
23:17:41 [INFO]   [192/1320] (OK) 0.4/min, ETA 48m (failed: 0)
23:17:45 [INFO]   [193/1320] (OK) 0.4/min, ETA 48m (failed: 0)
23:17:46 [INFO]   [194/1320] (OK) 0.4/min, ETA 48m (failed: 0)
23:17:48 [INFO]   [195/1320] (OK) 0.4/min, ETA 48m (failed: 0)
23:17:50 [INFO]   [196/1320] (OK) 0.4/min, ETA 48m (failed: 0)
23:17:52 [INFO]   [197/1320] (OK) 0.4/min, ETA 48m (failed: 0)
23:17:56 [INFO]   [198/1320] (OK) 0.4/min, ETA 48m (failed: 0)
23:17:58 [INFO]   [199/1320] (OK) 0.4/min, ETA 48m (failed: 0)
23:18:02 [INFO]   [200/1320] (OK) 0.4/min, ETA 48m (failed: 0)
23:18:03 [INFO]   [201/1320] (OK) 0.4/min, ETA 48m (failed: 0)
23:18:11 [INFO]   [202/1320] (OK) 0.4/min, ETA 48m (failed: 0)
23:18:12 [INFO]   [203/1320] (OK) 0.4/min, ETA 48m (failed: 0)
23:18:15 [INFO]   [204/1320] (OK) 0.4/min, ETA 48m (failed: 0)
23:18:18 [INFO]   [205/1320] (OK) 0.4/min, ETA 48m (failed: 0)
23:18:18 [INFO]   [206/1320] (OK) 0.4/min, ETA 48m (failed: 0)
23:18:19 [INFO]   [207/1320] (OK) 0.4/min, ETA 48m (failed: 0)
23:18:25 [INFO]   [208/1320] (OK) 0.4/min, ETA 48m (failed: 0)
23:18:26 [INFO]   [209/1320] (OK) 0.4/min, ETA 48m (failed: 0)
23:18:35 [INFO]   [210/1320] (OK) 0.4/min, ETA 48m (failed: 0)
23:18:35 [INFO]   [211/1320] (OK) 0.4/min, ETA 48m (failed: 0)
23:18:38 [WARNING]   JSON parse error (attempt 1): Could not parse JSON from LLM output: line 1 column 1 (char 0)
23:18:42 [INFO]   [212/1320] (OK) 0.4/min, ETA 48m (failed: 0)
23:18:42 [INFO]   [213/1320] (OK) 0.4/min, ETA 48m (failed: 0)
23:18:45 [INFO]   [214/1320] (OK) 0.4/min, ETA 48m (failed: 0)
23:18:50 [INFO]   [215/1320] (OK) 0.4/min, ETA 48m (failed: 0)
23:18:51 [INFO]   [216/1320] (OK) 0.4/min, ETA 48m (failed: 0)
23:18:52 [INFO]   [217/1320] (OK) 0.4/min, ETA 48m (failed: 0)
23:18:54 [INFO]   [218/1320] (OK) 0.4/min, ETA 48m (failed: 0)
23:19:00 [INFO]   [219/1320] (OK) 0.4/min, ETA 48m (failed: 0)
23:19:01 [INFO]   [220/1320] (OK) 0.4/min, ETA 48m (failed: 0)
23:19:02 [INFO]   [221/1320] (OK) 0.4/min, ETA 48m (failed: 0)
23:19:09 [INFO]   [222/1320] (OK) 0.4/min, ETA 48m (failed: 0)
23:19:09 [INFO]   [223/1320] (OK) 0.4/min, ETA 48m (failed: 0)
23:19:10 [INFO]   [224/1320] (OK) 0.4/min, ETA 47m (failed: 0)
23:19:14 [INFO]   [225/1320] (OK) 0.4/min, ETA 47m (failed: 0)
23:19:15 [INFO]   [226/1320] (OK) 0.4/min, ETA 47m (failed: 0)
23:19:16 [INFO]   [227/1320] (OK) 0.4/min, ETA 47m (failed: 0)
23:19:22 [INFO]   [228/1320] (OK) 0.4/min, ETA 47m (failed: 0)
23:19:26 [INFO]   [229/1320] (OK) 0.4/min, ETA 47m (failed: 0)
23:19:28 [INFO]   [230/1320] (OK) 0.4/min, ETA 47m (failed: 0)
23:19:30 [INFO]   [231/1320] (OK) 0.4/min, ETA 47m (failed: 0)
23:19:32 [INFO]   [232/1320] (OK) 0.4/min, ETA 47m (failed: 0)
23:19:35 [INFO]   [233/1320] (OK) 0.4/min, ETA 47m (failed: 0)
23:19:36 [INFO]   [234/1320] (OK) 0.4/min, ETA 47m (failed: 0)
23:19:37 [INFO]   [235/1320] (OK) 0.4/min, ETA 47m (failed: 0)
23:19:42 [INFO]   [236/1320] (OK) 0.4/min, ETA 47m (failed: 0)
23:19:43 [INFO]   [237/1320] (OK) 0.4/min, ETA 47m (failed: 0)
23:19:44 [INFO]   [238/1320] (OK) 0.4/min, ETA 47m (failed: 0)
23:19:48 [INFO]   [239/1320] (OK) 0.4/min, ETA 47m (failed: 0)
23:19:48 [INFO]   [240/1320] (OK) 0.4/min, ETA 47m (failed: 0)
23:19:49 [INFO]   [241/1320] (OK) 0.4/min, ETA 46m (failed: 0)
23:19:55 [INFO]   [242/1320] (OK) 0.4/min, ETA 46m (failed: 0)
23:19:58 [INFO]   [243/1320] (OK) 0.4/min, ETA 47m (failed: 0)
23:19:58 [INFO]   [244/1320] (OK) 0.4/min, ETA 46m (failed: 0)
23:20:00 [INFO]   [245/1320] (OK) 0.4/min, ETA 46m (failed: 0)
23:20:05 [INFO]   [246/1320] (OK) 0.4/min, ETA 46m (failed: 0)
23:20:06 [INFO]   [247/1320] (OK) 0.4/min, ETA 46m (failed: 0)
23:20:08 [INFO]   [248/1320] (OK) 0.4/min, ETA 46m (failed: 0)
23:20:13 [INFO]   [249/1320] (OK) 0.4/min, ETA 46m (failed: 0)
23:20:15 [INFO]   [250/1320] (OK) 0.4/min, ETA 46m (failed: 0)
23:20:17 [INFO]   [251/1320] (OK) 0.4/min, ETA 46m (failed: 0)
23:20:20 [INFO]   [252/1320] (OK) 0.4/min, ETA 46m (failed: 0)
23:20:23 [INFO]   [253/1320] (OK) 0.4/min, ETA 46m (failed: 0)
23:20:25 [INFO]   [254/1320] (OK) 0.4/min, ETA 46m (failed: 0)
23:20:27 [INFO]   [255/1320] (OK) 0.4/min, ETA 46m (failed: 0)
23:20:29 [INFO]   [256/1320] (OK) 0.4/min, ETA 46m (failed: 0)
23:20:32 [INFO]   [257/1320] (OK) 0.4/min, ETA 46m (failed: 0)
23:20:36 [INFO]   [258/1320] (OK) 0.4/min, ETA 46m (failed: 0)
23:20:36 [INFO]   [259/1320] (OK) 0.4/min, ETA 46m (failed: 0)
23:20:39 [INFO]   [260/1320] (OK) 0.4/min, ETA 46m (failed: 0)
23:20:41 [INFO]   [261/1320] (OK) 0.4/min, ETA 45m (failed: 0)
23:20:42 [INFO]   [262/1320] (OK) 0.4/min, ETA 45m (failed: 0)
23:20:47 [INFO]   [263/1320] (OK) 0.4/min, ETA 45m (failed: 0)
23:20:50 [INFO]   [264/1320] (OK) 0.4/min, ETA 45m (failed: 0)
23:20:51 [INFO]   [265/1320] (OK) 0.4/min, ETA 45m (failed: 0)
23:20:55 [INFO]   [266/1320] (OK) 0.4/min, ETA 45m (failed: 0)
23:20:57 [INFO]   [267/1320] (OK) 0.4/min, ETA 45m (failed: 0)
23:21:01 [INFO]   [268/1320] (OK) 0.4/min, ETA 45m (failed: 0)
23:21:02 [INFO]   [269/1320] (OK) 0.4/min, ETA 45m (failed: 0)
23:21:04 [INFO]   [270/1320] (OK) 0.4/min, ETA 45m (failed: 0)
23:21:11 [INFO]   [271/1320] (OK) 0.4/min, ETA 45m (failed: 0)
23:21:12 [INFO]   [272/1320] (OK) 0.4/min, ETA 45m (failed: 0)
23:21:14 [INFO]   [273/1320] (OK) 0.4/min, ETA 45m (failed: 0)
23:21:20 [INFO]   [274/1320] (OK) 0.4/min, ETA 45m (failed: 0)
23:21:22 [INFO]   [275/1320] (OK) 0.4/min, ETA 45m (failed: 0)
23:21:22 [INFO]   [276/1320] (OK) 0.4/min, ETA 45m (failed: 0)
23:21:28 [INFO]   [277/1320] (OK) 0.4/min, ETA 45m (failed: 0)
23:21:29 [INFO]   [278/1320] (OK) 0.4/min, ETA 45m (failed: 0)
23:21:32 [INFO]   [279/1320] (OK) 0.4/min, ETA 45m (failed: 0)
23:21:34 [INFO]   [280/1320] (OK) 0.4/min, ETA 45m (failed: 0)
23:21:35 [INFO]   [281/1320] (OK) 0.4/min, ETA 45m (failed: 0)
23:21:39 [INFO]   [282/1320] (OK) 0.4/min, ETA 45m (failed: 0)
23:21:42 [INFO]   [283/1320] (OK) 0.4/min, ETA 45m (failed: 0)
23:21:43 [INFO]   [284/1320] (OK) 0.4/min, ETA 45m (failed: 0)
23:21:45 [INFO]   [285/1320] (OK) 0.4/min, ETA 45m (failed: 0)
23:21:47 [INFO]   [286/1320] (OK) 0.4/min, ETA 44m (failed: 0)
23:21:49 [INFO]   [287/1320] (OK) 0.4/min, ETA 44m (failed: 0)
23:21:50 [INFO]   [288/1320] (OK) 0.4/min, ETA 44m (failed: 0)
23:21:52 [INFO]   [289/1320] (OK) 0.4/min, ETA 44m (failed: 0)
23:21:53 [INFO]   [290/1320] (OK) 0.4/min, ETA 44m (failed: 0)
23:21:56 [INFO]   [291/1320] (OK) 0.4/min, ETA 44m (failed: 0)
23:21:57 [INFO]   [292/1320] (OK) 0.4/min, ETA 44m (failed: 0)
23:21:57 [INFO]   [293/1320] (OK) 0.4/min, ETA 44m (failed: 0)
23:22:04 [INFO]   [294/1320] (OK) 0.4/min, ETA 44m (failed: 0)
23:22:04 [INFO]   [295/1320] (OK) 0.4/min, ETA 44m (failed: 0)
23:22:05 [INFO]   [296/1320] (OK) 0.4/min, ETA 44m (failed: 0)
23:22:11 [INFO]   [297/1320] (OK) 0.4/min, ETA 44m (failed: 0)
23:22:12 [INFO]   [298/1320] (OK) 0.4/min, ETA 44m (failed: 0)
23:22:13 [INFO]   [299/1320] (OK) 0.4/min, ETA 43m (failed: 0)
23:22:20 [INFO]   [300/1320] (OK) 0.4/min, ETA 44m (failed: 0)
23:22:21 [INFO]   [301/1320] (OK) 0.4/min, ETA 44m (failed: 0)
23:22:21 [INFO]   [302/1320] (OK) 0.4/min, ETA 43m (failed: 0)
23:22:26 [INFO]   [303/1320] (OK) 0.4/min, ETA 43m (failed: 0)
23:22:27 [INFO]   [304/1320] (OK) 0.4/min, ETA 43m (failed: 0)
23:22:28 [INFO]   [305/1320] (OK) 0.4/min, ETA 43m (failed: 0)
23:22:30 [INFO]   [306/1320] (OK) 0.4/min, ETA 43m (failed: 0)
23:22:33 [INFO]   [307/1320] (OK) 0.4/min, ETA 43m (failed: 0)
23:22:33 [INFO]   [308/1320] (OK) 0.4/min, ETA 43m (failed: 0)
23:22:36 [INFO]   [309/1320] (OK) 0.4/min, ETA 43m (failed: 0)
23:22:38 [INFO]   [310/1320] (OK) 0.4/min, ETA 43m (failed: 0)
